Date,Open,High,Low,Close,Volume,Adj close
152016-04-30,211.880005,217.330002,211.869995,217.220001,0,217.220001
152016-05-31,217.720001,233.539993,217.160004,233.389999,0,233.389999
152016-06-30,234.110001,237.380005,231.300003,236.929993,0,236.929993
152016-07-31,236.610001,239.000000,235.080002,235.000000,0,235.000000
152016-08-31,234.779999,237.820007,228.080002,235.919998,0,235.919998
152016-09-30,235.399994,235.399994,220.779999,222.610001,0,222.610001
152016-10-31,221.600006,223.300003,208.660004,213.259995,0,213.259995
152016-11-30,212.500000,217.889999,205.149994,217.789993,0,217.789993
152016-12-31,212.500000,212.500000,201.550003,203.229996,0,203.229996
152017-01-31,202.979996,210.199997,201.160004,209.979996,0,209.979996
152017-02-28,208.940002,208.940002,201.300003,207.190002,0,207.190002
152017-03-31,206.449997,210.979996,206.449997,208.330002,0,208.330002
152017-04-30,207.740005,211.160004,205.809998,210.289993,0,210.289993
152017-05-31,210.070007,216.800003,209.270004,208.550003,0,208.550003
152017-06-30,208.089996,210.360001,205.169998,208.059998,0,208.059998
152017-07-31,211.179993,213.509995,210.860001,213.149994,0,213.149994
152017-08-31,213.149994,213.529999,209.050003,209.169998,0,209.169998
152017-09-30,209.449997,214.919998,209.350006,215.300003,0,215.300003
152017-10-31,215.300003,217.970001,213.270004,217.470001,0,217.470001
152017-11-30,217.940002,220.199997,215.210007,215.490005,0,215.490005
152017-12-31,211.589996,214.940002,211.550003,213.800003,0,213.800003
152018-01-31,213.779999,214.279999,211.169998,213.619995,0,213.619995
152018-02-28,213.619995,222.050003,213.619995,222.020004,0,222.020004
152018-03-31,222.020004,225.000000,220.529999,220.960007,0,220.960007
152018-04-13,220.529999,221.160004,220.529999,220.960007,0,220.960007
